a0410b,a0410c,a0410d,a0410e,a0410f,a0502a,a0502c,a0502d,a0410a,a0404,a0405aa,a0405b,a0406,A0408A,A0408B,A0408C,A0408D,A0408E,a0409,a0409a,a0405m,a0405a,edad,sexo
2,2,2,2,2,2,2,2,2,2,0,0,3,5,0,0,0,0,4,1,0,0,41,2
2,2,2,2,2,1,2,2,1,1,1,1,11,5,0,0,0,0,3,1,0,4,49,1
2,2,2,2,2,2,2,2,2,1,2,0,1,5,0,0,0,0,4,1,0,18,59,2
2,2,2,2,2,2,2,2,2,1,2,0,1,2,0,0,0,0,3,3,6,0,49,1
2,2,2,2,2,2,2,2,2,1,1,2,0,5,0,0,0,0,5,0,0,4,48,2
2,2,2,2,2,2,2,2,2,1,2,0,12,1,0,0,0,0,3,12,0,5,52,2
2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,0,0,0,3,1,0,13,43,2
2,2,2,2,2,2,2,2,2,1,2,0,1,1,2,0,0,0,1,1,0,18,55,2
2,2,2,2,2,2,2,2,2,2,0,0,0,5,0,0,0,0,3,1,0,0,33,1
2,2,2,2,2,2,2,2,2,1,2,0,0,1,2,0,0,0,2,2,0,13,42,1
2,1,1,1,1,2,2,2,1,1,2,0,1,1,3,0,0,0,3,2,0,15,69,2
2,2,2,2,2,2,2,2,2,1,2,0,4,5,0,0,0,0,3,3,0,9,59,2
2,2,2,2,2,2,2,2,2,1,1,2,0,5,0,0,0,0,3,3,6,1,64,1
2,2,2,2,2,2,2,2,2,1,2,0,0,1,0,0,0,0,5,0,0,2,66,1
2,2,2,2,2,2,2,2,2,1,1,2,3,1,0,0,0,0,1,3,2,0,60,1
2,2,2,2,2,2,2,2,2,2,0,0,0,5,0,0,0,0,5,0,0,0,20,2
2,2,2,2,2,2,2,2,2,2,0,0,0,1,0,0,0,0,4,2,0,0,39,1
2,2,2,2,2,2,2,2,2,1,2,0,1,1,0,0,0,0,1,1,0,20,69,1
2,2,2,2,2,2,2,2,2,1,2,0,8,3,0,0,0,0,1,1,99,3,56,2
2,2,2,2,2,2,2,2,2,1,2,0,0,5,0,0,0,0,5,0,0,5,52,1
2,2,2,2,2,2,2,2,2,1,2,0,12,1,2,3,0,0,3,1,0,21,61,2
2,2,2,2,2,2,2,2,2,2,0,0,0,5,0,0,0,0,5,0,0,0,48,2
0,0,0,0,0,2,2,2,0,2,0,0,0,5,0,0,0,0,3,2,0,0,34,2
2,2,2,2,2,2,2,2,2,1,2,0,1,1,3,0,0,0,3,1,0,5,69,2
2,2,2,2,2,2,2,2,1,1,2,0,0,1,3,0,0,0,1,1,0,20,69,2
2,2,2,2,2,2,2,2,2,1,1,2,8,5,0,0,0,0,3,1,0,6,29,1
2,2,2,2,2,2,2,2,2,1,2,0,11,1,0,0,0,0,1,1,0,8,60,2
2,1,2,2,2,1,2,2,1,1,1,2,0,5,0,0,0,0,5,0,4,0,61,2
2,2,2,2,2,2,2,2,2,1,2,0,0,5,0,0,0,0,3,1,0,10,40,2
2,2,2,2,2,2,2,2,1,1,2,0,7,1,0,0,0,0,2,1,11,20,64,2
2,2,2,2,2,2,2,2,1,2,0,0,0,2,0,0,0,0,5,0,0,0,58,1
2,2,2,2,2,2,2,2,2,1,2,0,0,1,0,0,0,0,2,1,11,4,20,2
2,2,2,2,2,2,2,2,1,1,1,2,0,5,0,0,0,0,5,0,11,10,60,2
2,2,2,1,1,2,2,2,1,1,1,2,2,5,0,0,0,0,1,1,0,3,57,2
2,2,2,2,2,2,2,2,2,1,2,0,12,5,0,0,0,0,1,1,0,16,75,2
2,2,2,2,2,2,1,2,1,1,2,0,4,5,0,0,0,0,1,1,0,6,83,1
2,2,2,2,2,2,2,2,2,1,2,0,12,3,0,0,0,0,3,12,0,6,50,2
2,2,2,2,2,2,2,2,2,1,2,0,0,3,0,0,0,0,4,4,0,15,72,2
2,2,2,2,2,2,2,2,2,1,2,0,10,3,0,0,0,0,1,1,10,24,84,2
2,2,2,2,2,2,2,2,1,1,1,4,0,5,0,0,0,0,3,1,11,1,49,2
2,2,2,2,2,2,2,2,2,1,2,0,0,1,3,0,0,0,5,0,0,33,67,2
2,2,2,2,2,2,2,2,2,2,0,0,3,5,0,0,0,0,3,1,0,0,62,2
2,2,2,2,2,2,2,2,2,1,2,0,0,5,0,0,0,0,5,0,5,1,66,2
2,2,2,2,2,2,2,2,2,2,0,0,0,5,0,0,0,0,3,10,0,0,59,1
2,2,2,2,2,2,2,2,2,1,1,2,2,5,0,0,0,0,4,10,0,2,46,2
2,2,2,2,2,2,2,2,2,1,2,0,0,5,0,0,0,0,3,12,0,3,49,2
2,2,2,2,2,2,2,2,2,1,2,0,0,3,0,0,0,0,3,1,0,4,51,1
2,2,2,2,2,2,2,2,2,2,0,0,0,5,0,0,0,0,3,1,0,0,44,2
2,2,2,2,2,2,2,2,2,1,2,0,12,5,0,0,0,0,3,1,0,20,67,2
2,2,2,2,2,2,2,2,2,1,1,2,6,5,0,0,0,0,4,6,0,8,76,2
2,2,2,2,2,2,2,2,2,1,1,1,0,5,0,0,0,0,5,0,0,1,48,1
2,2,2,2,2,2,2,2,2,1,2,0,11,5,0,0,0,0,2,2,0,2,77,1
2,2,2,2,2,2,2,2,2,2,0,0,0,5,0,0,0,0,5,0,0,0,52,1
2,2,2,2,2,2,2,2,2,1,2,0,0,5,0,0,0,0,3,12,0,20,56,2
2,2,2,2,2,1,2,2,2,1,2,0,2,3,0,0,0,0,2,1,6,0,51,2
2,2,2,2,2,2,2,2,2,1,1,1,99,5,0,0,0,0,4,5,0,15,42,2
2,2,2,2,2,2,2,2,2,1,2,0,12,5,0,0,0,0,3,12,0,31,46,2
2,2,2,2,2,2,2,2,2,1,2,0,0,5,0,0,0,0,2,2,0,1,45,1
2,2,2,2,2,2,2,2,1,1,2,0,11,5,0,0,0,0,3,1,0,1,36,2
2,2,2,2,2,2,2,2,2,1,1,2,4,1,3,0,0,0,3,4,0,15,68,2
2,2,2,2,2,2,2,2,2,1,1,1,1,5,0,0,0,0,2,1,0,4,69,1
2,2,1,2,2,2,2,2,2,2,0,0,0,5,0,0,0,0,3,11,0,0,53,2
2,2,2,2,2,2,2,2,2,1,2,0,0,5,0,0,0,0,3,1,0,6,71,1
2,2,2,2,2,2,2,2,2,1,2,0,10,1,0,0,0,0,3,1,0,7,48,2
2,2,2,2,2,2,2,2,1,1,2,0,0,1,0,0,0,0,2,1,11,10,84,1
2,2,2,2,2,2,2,2,2,2,0,0,0,5,0,0,0,0,4,4,0,0,35,2
2,2,2,2,2,2,2,2,2,1,2,0,12,5,0,0,0,0,4,12,0,10,41,2
2,2,2,2,2,2,2,2,2,1,2,0,4,2,3,0,0,0,1,1,0,20,83,1
2,2,2,2,2,2,2,2,2,1,2,0,0,5,0,0,0,0,5,0,0,3,58,2
2,2,2,2,2,2,2,2,2,1,2,0,0,5,0,0,0,0,5,0,0,2,74,2
2,2,2,2,2,2,2,2,2,1,2,0,8,1,0,0,0,0,3,2,6,0,36,1
2,2,2,2,2,2,2,2,2,1,2,0,2,5,0,0,0,0,4,1,0,5,53,2
2,2,2,2,2,2,2,2,1,1,2,0,12,1,0,0,0,0,3,1,0,13,62,2
2,2,2,2,2,2,2,2,2,1,1,4,12,5,0,0,0,0,3,12,0,4,47,1
2,2,2,2,2,2,2,2,2,1,2,0,6,5,0,0,0,0,3,1,0,3,82,2
2,2,2,2,2,2,2,2,2,1,2,0,12,5,0,0,0,0,3,1,2,25,64,2
2,2,2,2,2,2,2,2,2,1,2,0,12,1,0,0,0,0,3,12,0,25,79,1
2,2,2,2,2,2,2,2,2,1,2,0,0,1,3,0,0,0,1,2,6,12,62,2
2,2,2,2,2,2,2,2,2,1,2,0,8,1,3,0,0,0,3,12,0,20,81,2
2,2,2,2,2,2,2,2,2,1,2,0,12,1,0,0,0,0,3,1,0,2,66,2
2,2,2,2,2,2,2,2,2,1,2,0,12,1,2,3,0,0,1,1,0,20,67,2
2,2,2,2,2,2,2,2,2,1,2,0,12,1,0,0,0,0,4,12,0,2,80,2
2,2,2,2,2,2,2,2,2,1,2,0,1,1,2,0,0,0,1,2,6,6,63,1
2,2,2,2,2,2,2,2,2,1,2,0,0,5,0,0,0,0,5,0,0,3,66,1
2,2,2,2,2,2,2,2,2,1,2,0,0,5,0,0,0,0,4,12,0,3,53,2
2,2,2,2,2,1,1,1,2,1,2,0,11,5,0,0,0,0,3,1,2,0,75,2
2,2,2,2,2,2,2,2,2,1,2,0,0,1,0,0,0,0,2,2,6,0,46,1
2,2,2,2,2,2,2,2,2,1,2,0,5,1,0,0,0,0,4,6,0,30,55,2
2,2,2,2,2,2,2,2,2,1,1,2,12,1,0,0,0,0,3,12,0,5,57,2
